Brand,Slug,Tagline,Color Token,Hex,Color Notes,Typo Token,Font,Size px,Typo Notes
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.build,#F97316,"Build stage — orange, foundation work, initial creation",type.display,Space Grotesk,36.0,"Hero headlines, major impact"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.build,#F97316,"Build stage — orange, foundation work, initial creation",type.h1,Space Grotesk,30.0,"Page titles, section headers"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.build,#F97316,"Build stage — orange, foundation work, initial creation",type.h2,Space Grotesk,24.0,Subsection headers
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.build,#F97316,"Build stage — orange, foundation work, initial creation",type.h3,Space Grotesk,20.0,"Card titles, component headers"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.build,#F97316,"Build stage — orange, foundation work, initial creation",type.h4,Space Grotesk,18.0,Minor headings
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.build,#F97316,"Build stage — orange, foundation work, initial creation",type.body.large,Inter,18.0,Lead paragraphs
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.build,#F97316,"Build stage — orange, foundation work, initial creation",type.body,Inter,16.0,"Standard content, UI labels"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.build,#F97316,"Build stage — orange, foundation work, initial creation",type.button,Inter,16.0,"Button labels, CTAs"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.build,#F97316,"Build stage — orange, foundation work, initial creation",type.body.small,Inter,14.0,Secondary information
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.build,#F97316,"Build stage — orange, foundation work, initial creation",type.mono,JetBrains Mono,14.0,"Code, logs, technical data"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.build,#F97316,"Build stage — orange, foundation work, initial creation",type.caption,Inter,12.0,"Tiny labels, timestamps"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.capture,#06B6D4,"Capture stage — cyan, collecting and gathering content",type.display,Space Grotesk,36.0,"Hero headlines, major impact"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.capture,#06B6D4,"Capture stage — cyan, collecting and gathering content",type.h1,Space Grotesk,30.0,"Page titles, section headers"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.capture,#06B6D4,"Capture stage — cyan, collecting and gathering content",type.h2,Space Grotesk,24.0,Subsection headers
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.capture,#06B6D4,"Capture stage — cyan, collecting and gathering content",type.h3,Space Grotesk,20.0,"Card titles, component headers"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.capture,#06B6D4,"Capture stage — cyan, collecting and gathering content",type.h4,Space Grotesk,18.0,Minor headings
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.capture,#06B6D4,"Capture stage — cyan, collecting and gathering content",type.body.large,Inter,18.0,Lead paragraphs
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.capture,#06B6D4,"Capture stage — cyan, collecting and gathering content",type.body,Inter,16.0,"Standard content, UI labels"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.capture,#06B6D4,"Capture stage — cyan, collecting and gathering content",type.button,Inter,16.0,"Button labels, CTAs"
Content Factor,content-factor,"Live, Interactive, Always in Sync",pipeline.capture,#06B6D4,"Capture stage — cyan, collecting and gathering content",type.body.small,Inter,14.0,Secondary information
