brand_name,slug,tagline,color_key,hex,color_desc,type_key,font,size,typo_desc
"Content Factor",content-factor,"Live, Interactive, Always in Sync",pipeline.build,#F97316,"Build stage — orange, foundation work, initial creation",,,,
"Content Factor",content-factor,"Live, Interactive, Always in Sync",pipeline.capture,#06B6D4,"Capture stage — cyan, collecting and gathering content",,,,
"Content Factor",content-factor,"Live, Interactive, Always in Sync",pipeline.measure,#DB2777,"Measure stage — pink, analytics and feedback",,,,
"Content Factor",content-factor,"Live, Interactive, Always in Sync",pipeline.publish,#2563EB,"Publish stage — blue, deployment and distribution",,,,
"Content Factor",content-factor,"Live, Interactive, Always in Sync",pipeline.transform,#84CC16,"Transform stage — lime, processing and refining",,,,
Dropframe,dropframe,"Build Your Brand in Motion",neutral.dark,#212121,"Primary text, high emphasis",type.display,Inter,40.0,"Hero headlines, major impact"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.light,#F5F5F5,"Background surfaces, light base",type.display,Inter,40.0,"Hero headlines, major impact"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.white,#FFFFFF,"Pure white — cards, overlays",type.display,Inter,40.0,"Hero headlines, major impact"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.dark,#212121,"Primary text, high emphasis",type.h1,Inter,32.0,"Page titles, section headers"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.light,#F5F5F5,"Background surfaces, light base",type.h1,Inter,32.0,"Page titles, section headers"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.white,#FFFFFF,"Pure white — cards, overlays",type.h1,Inter,32.0,"Page titles, section headers"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.dark,#212121,"Primary text, high emphasis",type.h2,Inter,24.0,"Subsection headers"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.light,#F5F5F5,"Background surfaces, light base",type.h2,Inter,24.0,"Subsection headers"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.white,#FFFFFF,"Pure white — cards, overlays",type.h2,Inter,24.0,"Subsection headers"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.dark,#212121,"Primary text, high emphasis",type.h3,Inter,20.0,"Card titles, component headers"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.light,#F5F5F5,"Background surfaces, light base",type.h3,Inter,20.0,"Card titles, component headers"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.white,#FFFFFF,"Pure white — cards, overlays",type.h3,Inter,20.0,"Card titles, component headers"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.dark,#212121,"Primary text, high emphasis",type.body.large,"Libre Franklin",18.0,"Lead paragraphs, introductions"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.dark,#212121,"Primary text, high emphasis",type.h4,Inter,18.0,"Minor headings"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.light,#F5F5F5,"Background surfaces, light base",type.body.large,"Libre Franklin",18.0,"Lead paragraphs, introductions"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.light,#F5F5F5,"Background surfaces, light base",type.h4,Inter,18.0,"Minor headings"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.white,#FFFFFF,"Pure white — cards, overlays",type.body.large,"Libre Franklin",18.0,"Lead paragraphs, introductions"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.white,#FFFFFF,"Pure white — cards, overlays",type.h4,Inter,18.0,"Minor headings"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.dark,#212121,"Primary text, high emphasis",type.body,"Libre Franklin",16.0,"Standard content, descriptions"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.dark,#212121,"Primary text, high emphasis",type.button.large,Inter,16.0,"Primary CTAs — uppercase"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.light,#F5F5F5,"Background surfaces, light base",type.body,"Libre Franklin",16.0,"Standard content, descriptions"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.light,#F5F5F5,"Background surfaces, light base",type.button.large,Inter,16.0,"Primary CTAs — uppercase"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.white,#FFFFFF,"Pure white — cards, overlays",type.body,"Libre Franklin",16.0,"Standard content, descriptions"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.white,#FFFFFF,"Pure white — cards, overlays",type.button.large,Inter,16.0,"Primary CTAs — uppercase"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.dark,#212121,"Primary text, high emphasis",type.body.small,"Libre Franklin",14.0,"Secondary information, metadata"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.dark,#212121,"Primary text, high emphasis",type.button,Inter,14.0,"Standard buttons — uppercase"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.light,#F5F5F5,"Background surfaces, light base",type.body.small,"Libre Franklin",14.0,"Secondary information, metadata"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.light,#F5F5F5,"Background surfaces, light base",type.button,Inter,14.0,"Standard buttons — uppercase"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.white,#FFFFFF,"Pure white — cards, overlays",type.body.small,"Libre Franklin",14.0,"Secondary information, metadata"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.white,#FFFFFF,"Pure white — cards, overlays",type.button,Inter,14.0,"Standard buttons — uppercase"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.dark,#212121,"Primary text, high emphasis",type.caption,"Libre Franklin",12.0,"Tiny labels, timestamps, footnotes"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.light,#F5F5F5,"Background surfaces, light base",type.caption,"Libre Franklin",12.0,"Tiny labels, timestamps, footnotes"
Dropframe,dropframe,"Build Your Brand in Motion",neutral.white,#FFFFFF,"Pure white — cards, overlays",type.caption,"Libre Franklin",12.0,"Tiny labels, timestamps, footnotes"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.red,#C41230,"Colonial Red — calls to action, focus, urgency",type.display,Inter,40.0,"Hero headlines, major impact"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.teal,#006E6D,"Cobbs Creek Teal — primary brand accent, calm energy, digital modernity",type.display,Inter,40.0,"Hero headlines, major impact"
Dropframe,dropframe,"Build Your Brand in Motion",tier.gold,#FFC857,"Tier 1 accent — Warm Gold, achievement highlights",type.display,Inter,40.0,"Hero headlines, major impact"
Dropframe,dropframe,"Build Your Brand in Motion",tier.lavender,#B497BD,"Tier 2 accent — West Philly Lavender, trust, polish",type.display,Inter,40.0,"Hero headlines, major impact"
Dropframe,dropframe,"Build Your Brand in Motion",tier.slate,#4B4B4B,"Tier 3 accent — Slate Gray, secondary depth",type.display,Inter,40.0,"Hero headlines, major impact"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.red,#C41230,"Colonial Red — calls to action, focus, urgency",type.h1,Inter,32.0,"Page titles, section headers"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.teal,#006E6D,"Cobbs Creek Teal — primary brand accent, calm energy, digital modernity",type.h1,Inter,32.0,"Page titles, section headers"
Dropframe,dropframe,"Build Your Brand in Motion",tier.gold,#FFC857,"Tier 1 accent — Warm Gold, achievement highlights",type.h1,Inter,32.0,"Page titles, section headers"
Dropframe,dropframe,"Build Your Brand in Motion",tier.lavender,#B497BD,"Tier 2 accent — West Philly Lavender, trust, polish",type.h1,Inter,32.0,"Page titles, section headers"
Dropframe,dropframe,"Build Your Brand in Motion",tier.slate,#4B4B4B,"Tier 3 accent — Slate Gray, secondary depth",type.h1,Inter,32.0,"Page titles, section headers"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.red,#C41230,"Colonial Red — calls to action, focus, urgency",type.h2,Inter,24.0,"Subsection headers"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.teal,#006E6D,"Cobbs Creek Teal — primary brand accent, calm energy, digital modernity",type.h2,Inter,24.0,"Subsection headers"
Dropframe,dropframe,"Build Your Brand in Motion",tier.gold,#FFC857,"Tier 1 accent — Warm Gold, achievement highlights",type.h2,Inter,24.0,"Subsection headers"
Dropframe,dropframe,"Build Your Brand in Motion",tier.lavender,#B497BD,"Tier 2 accent — West Philly Lavender, trust, polish",type.h2,Inter,24.0,"Subsection headers"
Dropframe,dropframe,"Build Your Brand in Motion",tier.slate,#4B4B4B,"Tier 3 accent — Slate Gray, secondary depth",type.h2,Inter,24.0,"Subsection headers"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.red,#C41230,"Colonial Red — calls to action, focus, urgency",type.h3,Inter,20.0,"Card titles, component headers"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.teal,#006E6D,"Cobbs Creek Teal — primary brand accent, calm energy, digital modernity",type.h3,Inter,20.0,"Card titles, component headers"
Dropframe,dropframe,"Build Your Brand in Motion",tier.gold,#FFC857,"Tier 1 accent — Warm Gold, achievement highlights",type.h3,Inter,20.0,"Card titles, component headers"
Dropframe,dropframe,"Build Your Brand in Motion",tier.lavender,#B497BD,"Tier 2 accent — West Philly Lavender, trust, polish",type.h3,Inter,20.0,"Card titles, component headers"
Dropframe,dropframe,"Build Your Brand in Motion",tier.slate,#4B4B4B,"Tier 3 accent — Slate Gray, secondary depth",type.h3,Inter,20.0,"Card titles, component headers"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.red,#C41230,"Colonial Red — calls to action, focus, urgency",type.body.large,"Libre Franklin",18.0,"Lead paragraphs, introductions"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.red,#C41230,"Colonial Red — calls to action, focus, urgency",type.h4,Inter,18.0,"Minor headings"
Dropframe,dropframe,"Build Your Brand in Motion",dropframe.teal,#006E6D,"Cobbs Creek Teal — primary brand accent, calm energy, digital modernity",type.body.large,"Libre Franklin",18.0,"Lead paragraphs, introductions"
